s,C,C,C,C,C,C,C,C,kW/m2
Time,"TEMP1","TEMP2","TEMP3","TEMP4","TC1","TC2","TC3","TC4","HEAT_FLUX"
 3.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.9999998E+001, 1.9999999E+001, 1.9999999E+001, 1.9999999E+001,-9.1586863E-006
 3.0984032E+001, 2.0010154E+001, 2.0000041E+001, 1.9999997E+001, 2.0000000E+001, 2.0051065E+001, 2.0000113E+001, 1.9999999E+001, 1.9999999E+001,-6.5483281E-008
 3.1951131E+001, 9.1722855E+001, 2.0002583E+001, 1.9999997E+001, 2.0000004E+001, 2.6441954E+001, 2.0008453E+001, 2.0000014E+001, 1.9999999E+001, 5.9276511E-008
 3.2919501E+001, 3.3687317E+002, 2.0011369E+001, 2.0000005E+001, 2.0000010E+001, 1.0680515E+002, 2.0030956E+001, 2.0000055E+001, 2.0000000E+001, 9.5414787E-008
 3.3883035E+001, 4.5462413E+002, 2.0026261E+001, 2.0000017E+001, 2.0000018E+001, 2.4268753E+002, 2.0056207E+001, 2.0000096E+001, 2.0000002E+001, 1.0566609E-007
 3.4856968E+001, 3.8390284E+002, 2.0049952E+001, 2.0000036E+001, 2.0000027E+001, 3.1841161E+002, 2.0085138E+001, 2.0000156E+001, 2.0000004E+001, 1.4516584E-007
 3.5823859E+001, 3.0963119E+002, 2.0064276E+001, 2.0000081E+001, 2.0000037E+001, 3.3166506E+002, 2.0114372E+001, 2.0000299E+001, 2.0000007E+001, 2.0646390E-007
 3.6799641E+001, 3.9408179E+002, 2.0062275E+001, 2.0000146E+001, 2.0000047E+001, 3.4794309E+002, 2.0144996E+001, 2.0000493E+001, 2.0000011E+001, 2.9782035E-007
 3.7771534E+001, 3.3958505E+002, 2.0054516E+001, 2.0000255E+001, 2.0000058E+001, 3.6136800E+002, 2.0174662E+001, 2.0000813E+001, 2.0000017E+001, 4.5881087E-007
 3.8737532E+001, 3.4419116E+002, 2.0052242E+001, 2.0000402E+001, 2.0000069E+001, 3.5273583E+002, 2.0202960E+001, 2.0001229E+001, 2.0000023E+001, 6.5685576E-007
 3.9705081E+001, 4.6966602E+002, 2.0051579E+001, 2.0000572E+001, 2.0000081E+001, 3.7862957E+002, 2.0231381E+001, 2.0001673E+001, 2.0000033E+001, 8.5512953E-007
 4.0674161E+001, 3.3032281E+002, 2.0049345E+001, 2.0000825E+001, 2.0000094E+001, 3.9872001E+002, 2.0259252E+001, 2.0002322E+001, 2.0000048E+001, 1.1804242E-006
 4.1644958E+001, 3.0661215E+002, 2.0062717E+001, 2.0001172E+001, 2.0000111E+001, 3.6982337E+002, 2.0287895E+001, 2.0003139E+001, 2.0000072E+001, 1.7431362E-006
 4.2621770E+001, 3.3267736E+002, 2.0125821E+001, 2.0001702E+001, 2.0000137E+001, 3.5634167E+002, 2.0323256E+001, 2.0004314E+001, 2.0000120E+001, 2.7547902E-006
 4.3586874E+001, 2.9822971E+002, 2.4265372E+001, 2.0002566E+001, 2.0000181E+001, 3.5504906E+002, 2.0545960E+001, 2.0006067E+001, 2.0000224E+001, 4.6141252E-006
